unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
457022,Herzing University-Toledo,2019,Ohio,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
237729,Academy of Careers and Technology,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,37,83,0,,,0,,,,37,83,
185466,Rizzieri Aveda School for Beauty and Wellness,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,104,118,0,,,0,,,,104,118,
475273,"Springfield College-Regional, Online, and Continuing Education",2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,229,92,0,0,0,0,0,0,0,0,0,229,92,0,0,0,0
200800,University of Akron Main Campus,2019,Ohio,"Public, 4-year or above",No,456,2853,771,131,149,0,302,1,0,10,31,450,2813,771,280,280,1,38
237686,West Virginia University at Parkersburg,2019,West Virginia,"Public, 4-year or above",No,324,230,0,0,0,0,0,135,0,0,0,320,226,0,0,0,125,0
130253,Sacred Heart University,2019,Connecticut,"Private not-for-profit, 4-year or above",No,108,1331,1065,0,71,0,0,2,0,0,89,108,1331,1065,71,0,2,89
164775,Berkshire Community College,2019,Massachusetts,"Public, 2-year",No,224,,,,,,70,28,0,,,223,,,,61,28,
457332,European Academy of Cosmetology and Hairdressing,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,0,16,0,,,0,,,,0,16,
491914,Yeshiva Gedola Tiferes Yerachmiel,2019,New Jersey,"Private not-for-profit, 4-year or above",No,33,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
203155,Hocking College,2019,Ohio,"Public, 2-year",No,540,,,,,,226,86,0,,,493,,,,128,86,
204723,Ohio State College of Barber Styling,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,0,2,113,,,0,,,,0,115,
237181,Bethany College,2019,West Virginia,"Private not-for-profit, 4-year or above",No,0,121,9,0,0,0,0,0,0,0,0,0,120,9,0,0,0,0
